PDMS,,PDMS-90,,PDMS-0,,K1S-spin,,K1S-spin-90,,K1S-spin-0,,K1S-ff-3mms,,K1S-ff-3mms-90,,K1S-ff-3mms-0,,K1S-lf-3mms,,K1S-lf-3mms-90,,K1S-lf-3mms-0,,K1S-lf-3mms-2,,K1S-lf-3mms-2-90,,K1S-lf-3mms-2-0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1074,0.5256150365,1074,1.186300039,1074,0.7804427147,1074,0.4701422751,1074,1.100913525,1074,0.8002041578,1074,0.8170451522,1074,1.445598602,1074,1.027722478,1074,0.5494891405,1074,1.139507651,1074,0.8140677214,1074,0.6825413704,1074,1.289952874,1074,0.9196930528,
1073,0.5258321762,1073,1.185763478,1073,0.7809381485,1073,0.4702909291,1073,1.100131035,1073,0.8009786606,1073,0.8176771402,1073,1.444793701,1073,1.028309703,1073,0.5496277809,1073,1.139044046,1073,0.8147147894,1073,0.682676971,1073,1.289211154,1073,0.9204077125,
1072,0.5259229541,1072,1.185049534,1072,0.781458497,1072,0.4703087509,1072,1.099424362,1072,0.8016127944,1072,0.8170204759,1072,1.443824887,1072,1.028517127,1072,0.5497006178,1072,1.138454795,1072,0.8155483007,1072,0.6829178333,1072,1.288674474,1072,0.921246767,
1071,0.5259518623,1071,1.184250832,1071,0.7821841836,1071,0.4703480899,1071,1.098850131,1071,0.802228272,1071,0.8165356517,1071,1.443138242,1071,1.029088855,1071,0.5498005748,1071,1.137957335,1071,0.8161802888,1071,0.6832534075,1071,1.288433433,1071,0.921965003,
1070,0.5258705616,1070,1.183025241,1070,0.7821272612,1070,0.470467329,1070,1.097949505,1070,0.8028775454,1070,0.8171052337,1070,1.442389846,1070,1.02945888,1070,0.5500618815,1070,1.137107134,1070,0.8166767359,1070,0.6833013296,1070,1.287221789,1070,0.922362268,
1069,0.5254042149,1069,1.182087898,1069,0.7823800445,1069,0.4701761305,1069,1.096853852,1069,0.8028704524,1069,0.8172554374,1069,1.44114387,1069,1.029563904,1069,0.5498959422,1069,1.135776162,1069,0.8168541193,1069,0.6827744842,1069,1.285929084,1069,0.9222462773,
1068,0.5254716277,1068,1.181455135,1068,0.7832340002,1068,0.4700487852,1068,1.096037626,1068,0.803214848,1068,0.8171358705,1068,1.440848351,1068,1.030346036,1068,0.5498009324,1068,1.135189056,1068,0.8173462152,1068,0.6827759743,1068,1.285572886,1068,0.9229462743,
1067,0.5258316994,1067,1.18084836,1067,0.7840579152,1067,0.4701490104,1067,1.095390797,1067,0.8040767312,1067,0.8168910146,1067,1.439974785,1067,1.031296849,1067,0.5500216484,1067,1.134976149,1067,0.8182781935,1067,0.6830834746,1067,1.285209298,1067,0.9238880277,
1066,0.526142776,1066,1.179953218,1066,0.7843679786,1066,0.4705172777,1066,1.094908834,1066,0.8049861193,1066,0.8173830509,1066,1.439080238,1066,1.031522512,1066,0.5502645373,1066,1.134364605,1066,0.8191334605,1066,0.6835198998,1066,1.28427434,1066,0.9246743917,
1065,0.5258216262,1065,1.17934978,1065,0.7847690582,1065,0.4704020023,1065,1.094177365,1065,0.8054078221,1065,0.8169401884,1065,1.438286781,1065,1.031746387,1065,0.5502793193,1065,1.133520246,1065,0.8193998337,1065,0.683596313,1065,1.284053206,1065,0.9251503944,
